"","CD3","CD4","CD8a","CD11b","CD14","CD15","CD16","CD19","CD20","CD25","CD27","CD28","CD34","CD45RA","CD45RO","CD56","CD62L","CD69","CD80","CD86","CD127","CD137","CD197","CD274","CD278","CD335","PD.1","HLA.DR","TIGIT","cluster.info"
"1258",1015,1745,13,9,7,11,3,6,12,9,582,186,0,71,77,3,45,5,3,0,105,2,24,3,89,3,11,13,2,"mem CD4 T"
"1259",21,196,11,3368,636,24,4,8,16,4,8,17,0,17,100,4,57,43,4,279,7,7,8,4,10,3,8,314,5,"CD14 Mono"
"1260",309,765,6,4,10,8,1,2,8,6,61,84,0,3,105,4,1,3,0,3,39,3,2,4,25,4,10,4,1,"mem CD4 T"
"1261",363,765,2,7,8,6,4,1,10,7,397,119,0,13,60,2,29,3,4,1,50,2,10,2,41,5,7,7,3,"mem CD4 T"
"1262",7,1,0,13,4,2,2,79,138,32,35,4,1,384,0,2,4,8,0,2,1,0,2,0,4,3,1,230,1,"B"
"1263",17,157,5,27,11,5,1,1,0,2,1,6,0,32,24,3,21,7,3,55,3,1,3,0,4,2,0,719,0,"DC"
"1264",2,50,3,1656,255,7,3,6,5,1,1,1,0,7,30,2,10,12,2,95,1,3,1,2,4,3,3,36,3,"CD14 Mono"
"1265",3,117,5,2644,326,12,5,0,6,3,3,6,0,7,49,1,26,53,0,79,2,8,4,3,4,3,1,100,3,"CD14 Mono"
"1266",317,887,3,23,4,5,2,0,0,3,70,143,0,7,146,1,3,9,3,1,47,0,5,5,44,1,4,13,2,"mem CD4 T"
"1267",364,723,3,7,7,10,0,3,2,2,302,56,0,49,25,0,0,4,0,3,7,2,13,1,16,1,3,5,0,"naive CD4 T"
"1268",156,0,64,7,7,0,0,1,16,0,2,42,0,17,34,0,0,1,0,0,9,2,2,1,11,1,12,22,0,"CD8 T"
"1269",1171,1597,6,17,8,14,9,5,8,37,349,246,0,17,101,5,3,15,2,3,180,5,8,6,65,3,21,13,3,"mem CD4 T"
"1270",317,1002,7,8,16,9,3,6,3,10,589,119,0,7,166,8,19,10,0,0,114,2,4,4,63,4,10,21,0,"mem CD4 T"
